image,predicted_count,true_count,sMAPE,MAE,precision,recall,f1
livecell/images/livecell_test_images/BT474_Phase_D3_1_04d04h00m_3.tif,147.27876672288403,351,40.88499187251437,203.72123327711597,0.002849002849002849,0.002849002849002849,0.0028490028490028487
livecell/images/livecell_test_images/BT474_Phase_D3_2_03d04h00m_2.tif,86.0019119639037,139,23.55450563664482,52.998088036096306,0.02158273381294964,0.02158273381294964,0.02158273381294964
livecell/images/livecell_test_images/BT474_Phase_D3_1_01d12h00m_4.tif,98.66189693714114,186,30.68134653867806,87.33810306285886,0.03225806451612903,0.03225806451612903,0.03225806451612903
livecell/images/livecell_test_images/BT474_Phase_D3_2_04d16h00m_1.tif,142.5384885201347,321,38.49982599063367,178.4615114798653,0.003115264797507788,0.003115264797507788,0.003115264797507788
livecell/images/livecell_test_images/BT474_Phase_D3_2_00d12h00m_3.tif,88.25998831088509,118,14.418701335466633,29.740011689114908,0.0423728813559322,0.0423728813559322,0.0423728813559322
livecell/images/livecell_test_images/BT474_Phase_D3_1_04d04h00m_4.tif,152.89536495975335,271,27.86174249663241,118.10463504024665,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036
livecell/images/livecell_test_images/BT474_Phase_D3_1_03d16h00m_3.tif,114.47100237744598,257,38.3688085235069,142.52899762255402,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
livecell/images/livecell_test_images/BT474_Phase_D3_1_02d12h00m_4.tif,126.13344368866092,163,12.75070633165391,36.86655631133908,0.012269938650306749,0.012269938650306749,0.01226993865030675
livecell/images/livecell_test_images/BT474_Phase_D3_1_01d12h00m_2.tif,92.54839151065971,215,39.81539551804031,122.45160848934029,0.018604651162790697,0.018604651162790697,0.018604651162790697
livecell/images/livecell_test_images/BT474_Phase_D3_2_02d00h00m_2.tif,86.04944496371172,158,29.481958070827318,71.95055503628828,0.006329113924050633,0.006329113924050633,0.006329113924050633
livecell/images/livecell_test_images/BT474_Phase_D3_2_00d16h00m_2.tif,76.69970302399452,118,21.212306097311146,41.300296976005484,0.00847457627118644,0.00847457627118644,0.00847457627118644
livecell/images/livecell_test_images/BT474_Phase_D3_1_00d04h00m_2.tif,91.77975561418862,133,18.33805908062366,41.220244385811384,0.05263157894736842,0.05263157894736842,0.05263157894736842
livecell/images/livecell_test_images/BT474_Phase_D3_2_04d04h00m_2.tif,95.89641876001406,173,28.674082606060924,77.10358123998594,0.005780346820809248,0.005780346820809248,0.005780346820809248
livecell/images/livecell_test_images/BT474_Phase_D3_2_03d16h00m_4.tif,123.7806435586026,204,24.47348799199465,80.2193564413974,0.00980392156862745,0.00980392156862745,0.00980392156862745
livecell/images/livecell_test_images/BT474_Phase_D3_1_01d16h00m_2.tif,102.60772383167205,199,31.95948530221484,96.39227616832795,0.005025125628140704,0.005025125628140704,0.005025125628140704
livecell/images/livecell_test_images/BT474_Phase_D3_2_04d16h00m_4.tif,135.3854696442795,164,9.557755220959582,28.61453035572049,0.006097560975609756,0.006097560975609756,0.006097560975609756
livecell/images/livecell_test_images/BT474_Phase_D3_2_04d04h00m_3.tif,151.78335425278055,279,29.53146738176184,127.21664574721945,0.007168458781362007,0.007168458781362007,0.007168458781362007
livecell/images/livecell_test_images/BT474_Phase_D3_1_01d12h00m_3.tif,91.6756866871583,208,38.81673371596429,116.3243133128417,0.0,0.0,0.0
livecell/images/livecell_test_images/BT474_Phase_D3_2_00d00h00m_1.tif,115.3504462343335,143,10.702344109979713,27.649553765666496,0.09090909090909091,0.09090909090909091,0.09090909090909091
livecell/images/livecell_test_images/BT474_Phase_D3_1_02d12h00m_2.tif,112.40262806532701,243,36.74631576181472,130.597371934673,0.012345679012345678,0.012345679012345678,0.012345679012345678
livecell/images/livecell_test_images/BT474_Phase_D3_1_04d12h00m_2.tif,166.2240322756843,443,45.43090112359025,276.7759677243157,0.004514672686230248,0.004514672686230248,0.004514672686230248
livecell/images/livecell_test_images/BT474_Phase_D3_2_01d12h00m_3.tif,91.67136949389533,148,23.502444461786006,56.32863050610467,0.02702702702702703,0.02702702702702703,0.02702702702702703
livecell/images/livecell_test_images/BT474_Phase_D3_2_03d16h00m_2.tif,90.64870362798683,180,33.01375368670846,89.35129637201317,0.005555555555555556,0.005555555555555556,0.005555555555555556
livecell/images/livecell_test_images/BT474_Phase_D3_2_01d00h00m_2.tif,91.23783378750522,129,17.1460850132268,37.762166212494776,0.03875968992248062,0.03875968992248062,0.03875968992248062
livecell/images/livecell_test_images/BT474_Phase_D3_1_02d12h00m_3.tif,112.57413997491676,228,33.891551494069496,115.42586002508324,0.008771929824561403,0.008771929824561403,0.008771929824561403
livecell/images/livecell_test_images/BT474_Phase_D3_1_00d04h00m_4.tif,86.88168048776424,145,25.063782266017558,58.11831951223576,0.034482758620689655,0.034482758620689655,0.034482758620689655
livecell/images/livecell_test_images/BT474_Phase_D3_1_01d04h00m_2.tif,98.69060802729655,172,27.0823552050653,73.30939197270345,0.011627906976744186,0.011627906976744186,0.011627906976744184
livecell/images/livecell_test_images/BT474_Phase_D3_2_04d12h00m_4.tif,120.89762716245605,226,30.297806790221525,105.10237283754395,0.0,0.0,0.0
livecell/images/livecell_test_images/BT474_Phase_D3_2_04d00h00m_1.tif,142.80808495471138,245,26.351156412126553,102.19191504528862,0.004081632653061225,0.004081632653061225,0.004081632653061225
livecell/images/livecell_test_images/BT474_Phase_D3_1_04d00h00m_3.tif,146.17366177017539,204,16.513617254223124,57.826338229824614,0.014705882352941176,0.014705882352941176,0.014705882352941176
livecell/images/livecell_test_images/BT474_Phase_D3_2_00d12h00m_4.tif,87.74972590146353,121,15.928295931862275,33.250274098536465,0.03305785123966942,0.03305785123966942,0.03305785123966942
livecell/images/livecell_test_images/BT474_Phase_D3_2_03d16h00m_3.tif,140.20110568390373,245,27.206280763403186,104.79889431609627,0.004081632653061225,0.004081632653061225,0.004081632653061225
livecell/images/livecell_test_images/BT474_Phase_D3_2_01d12h00m_4.tif,91.40423877335706,144,22.342741787789635,52.595761226642935,0.027777777777777776,0.027777777777777776,0.027777777777777776
livecell/images/livecell_test_images/BT474_Phase_D3_1_01d00h00m_4.tif,89.61200688397366,135,20.20728711064503,45.38799311602634,0.014814814814814815,0.014814814814814815,0.014814814814814815
livecell/images/livecell_test_images/BT474_Phase_D3_2_02d04h00m_4.tif,109.20569380539382,155,17.33282335252658,45.79430619460618,0.012903225806451613,0.012903225806451613,0.012903225806451613
livecell/images/livecell_test_images/BT474_Phase_D3_1_04d04h00m_1.tif,91.33276816537546,184,33.65644868647274,92.66723183462454,0.005434782608695652,0.005434782608695652,0.005434782608695652
livecell/images/livecell_test_images/BT474_Phase_D3_2_01d16h00m_1.tif,89.30628466756025,227,43.53176715320616,137.69371533243975,0.00881057268722467,0.00881057268722467,0.00881057268722467
